Timestamp,X,Y,Z,Collision_object
2024-02-13 11:39:25.745,5.58,-1.88,0.81,Wall1
2024-02-13 11:39:25.762,5.58,-1.88,0.81,Wall1
2024-02-13 11:39:25.784,5.184709,-1.88,0.81,Wall1
2024-02-13 11:39:25.801,4.789418,-1.88,0.81,0
2024-02-13 11:39:25.818,4.394127,-1.88,0.81,0
2024-02-13 11:39:25.834,3.998837,-1.88,0.81,0
2024-02-13 11:39:25.853,3.603546,-1.88,0.81,0
2024-02-13 11:39:25.869,3.603546,-1.88,0.81,0
2024-02-13 11:39:25.888,3.208255,-1.88,0.81,0
2024-02-13 11:39:25.898,2.812964,-1.88,0.81,0
2024-02-13 11:39:25.911,2.417673,-1.88,0.81,0
2024-02-13 11:39:25.933,2.022382,-1.88,0.81,0
2024-02-13 11:39:25.953,1.627091,-1.88,0.81,0
2024-02-13 11:39:25.972,1.231801,-1.88,0.81,0
2024-02-13 11:39:25.979,1.231801,-1.88,0.81,0
2024-02-13 11:39:25.993,0.8365096,-1.88,0.81,0
2024-02-13 11:39:26.019,0.4412187,-1.88,0.81,0
2024-02-13 11:39:26.030,0.4412187,-1.88,0.81,0
2024-02-13 11:39:26.044,0.04592782,-1.88,0.81,0
2024-02-13 11:39:26.060,-0.3493631,-1.88,0.81,0
2024-02-13 11:39:26.083,-0.744654,-1.88,0.81,0
2024-02-13 11:39:26.103,-1.139945,-1.88,0.81,0
2024-02-13 11:39:26.112,-1.535236,-1.88,0.81,0
2024-02-13 11:39:26.134,-1.930527,-1.88,0.81,0
2024-02-13 11:39:26.153,-2.325818,-1.88,0.81,0
2024-02-13 11:39:26.161,-2.325818,-1.88,0.81,0
2024-02-13 11:39:26.177,-2.721108,-1.88,0.81,0
2024-02-13 11:39:26.202,-3.116399,-1.88,0.81,0
2024-02-13 11:39:26.216,-3.51169,-1.88,0.81,0
2024-02-13 11:39:26.228,-3.51169,-1.88,0.81,0
2024-02-13 11:39:26.247,-3.906981,-1.88,0.81,0
2024-02-13 11:39:26.269,-4.697563,-1.88,0.81,0
2024-02-13 11:39:26.276,-4.697563,-1.88,0.81,0
2024-02-13 11:39:26.302,-5.092854,-1.88,0.81,0
2024-02-13 11:39:26.312,-5.488144,-1.88,0.81,0
2024-02-13 11:39:26.334,-5.883435,-1.88,0.81,0
2024-02-13 11:39:26.353,-5.683435,-1.88,0.81,Wall2
2024-02-13 11:39:26.368,-5.683435,-1.88,0.81,Wall2
2024-02-13 11:39:26.389,-5.600687,-1.88,0.81,Wall2
2024-02-13 11:39:26.397,-5.584137,-1.88,0.81,Wall2
2024-02-13 11:39:26.412,-5.580827,-1.88,0.81,Wall2
2024-02-13 11:39:26.435,-5.580165,-1.88,0.81,Wall2
2024-02-13 11:39:26.443,-5.580165,-1.88,0.81,Wall2
2024-02-13 11:39:26.466,-5.580033,-1.88,0.81,Wall2
2024-02-13 11:39:26.483,-5.580007,-1.88,0.81,Wall2
2024-02-13 11:39:26.502,-5.580001,-1.88,0.81,Wall2
2024-02-13 11:39:26.513,-5.58,-1.88,0.81,Wall2
2024-02-13 11:39:26.526,-5.58,-1.88,0.81,Wall2
2024-02-13 11:39:26.550,-5.58,-1.88,0.81,Wall2
2024-02-13 11:39:26.558,-5.58,-1.88,0.81,Wall2
2024-02-13 11:39:26.584,-5.58,-1.88,0.81,Wall2
2024-02-13 11:39:26.602,-5.58,-1.88,0.81,Wall2
2024-02-13 11:39:26.622,-5.58,-1.88,0.8100048,Wall2
2024-02-13 11:39:26.631,-5.58,-1.88,0.8100116,Wall2
2024-02-13 11:39:26.642,-5.58,-1.88,0.8100116,Wall2
2024-02-13 11:39:26.664,-5.58,-1.880008,0.8107318,Wall2
2024-02-13 11:39:26.681,-5.58,-1.880972,0.8988889,Wall2
2024-02-13 11:39:26.699,-5.58,-1.8835,1.108442,Wall2
2024-02-13 11:39:26.717,-5.58,-1.887721,1.388739,Wall2
2024-02-13 11:39:26.736,-5.58,-1.881544,1.771621,Wall2
2024-02-13 11:39:26.743,-5.58,-1.881544,1.771621,Wall2
2024-02-13 11:39:26.767,-5.58,-1.880309,2.165429,Wall2
2024-02-13 11:39:26.785,-5.58,-1.880062,2.560424,Wall2
2024-02-13 11:39:26.802,-5.58,-1.880013,2.955656,Wall2
2024-02-13 11:39:26.811,-5.58,-1.880003,3.350935,Wall2
2024-02-13 11:39:26.832,-5.58,-1.880001,3.746223,Wall2
2024-02-13 11:39:26.850,-5.58,-1.88,4.141513,Wall2
2024-02-13 11:39:26.866,-5.58,-1.88,4.141513,Wall2
2024-02-13 11:39:26.885,-5.58,-1.88,4.536804,Wall2
2024-02-13 11:39:26.903,-5.58,-1.88,4.932095,Wall2
2024-02-13 11:39:26.920,-5.58,-1.88,5.327386,Wall2
2024-02-13 11:39:26.928,-5.58,-1.88,5.327386,Wall2
2024-02-13 11:39:26.949,-5.58,-1.88,5.722677,Wall2
2024-02-13 11:39:26.967,-5.58,-1.88,6.117968,Wall2
2024-02-13 11:39:26.985,-5.58,-1.88,6.513258,Wall2
2024-02-13 11:39:27.007,-5.58,-1.88,6.313259,Wall3
2024-02-13 11:39:27.015,-5.58,-1.88,6.182651,Wall3
2024-02-13 11:39:27.027,-5.58,-1.88,6.182651,Wall3
2024-02-13 11:39:27.049,-5.58,-1.88,6.15653,Wall3
2024-02-13 11:39:27.069,-5.58,-1.88,6.151306,Wall3
2024-02-13 11:39:27.086,-5.58,-1.88,6.15026,Wall3
2024-02-13 11:39:27.103,-5.58,-1.88,6.150052,Wall3
2024-02-13 11:39:27.111,-5.58,-1.88,6.15001,Wall3
2024-02-13 11:39:27.132,-5.58,-1.88,6.150002,Wall3
2024-02-13 11:39:27.150,-5.58,-1.88,6.15,Wall3
2024-02-13 11:39:27.167,-5.58,-1.88,6.15,Wall3
2024-02-13 11:39:27.186,-5.58,-1.88,6.15,Wall3
2024-02-13 11:39:27.197,-5.58,-1.88,6.15,Wall3
2024-02-13 11:39:27.208,-5.58,-1.88,6.15,Wall3
2024-02-13 11:39:27.231,-5.58,-1.88,5.359418,0
2024-02-13 11:39:27.248,-5.58,-1.88,5.359418,0
2024-02-13 11:39:27.266,-5.58,-1.88,4.964127,0
2024-02-13 11:39:27.283,-5.58,-1.88,4.568836,0
2024-02-13 11:39:27.302,-5.58,-1.88,4.173545,0
2024-02-13 11:39:27.319,-5.58,-1.88,3.778255,0
2024-02-13 11:39:27.326,-5.58,-1.88,3.778255,0
2024-02-13 11:39:27.349,-5.58,-1.88,3.382964,0
2024-02-13 11:39:27.366,-5.58,-1.88,2.987673,0
2024-02-13 11:39:27.384,-5.58,-1.88,2.592382,0
2024-02-13 11:39:27.402,-5.58,-1.88,2.197091,0
2024-02-13 11:39:27.420,-5.58,-1.88,1.8018,0
2024-02-13 11:39:27.426,-5.58,-1.88,1.8018,0
2024-02-13 11:39:27.449,-5.58,-1.88,1.406509,0
2024-02-13 11:39:27.467,-5.58,-1.88,1.011219,0
2024-02-13 11:39:27.478,-5.58,-1.88,0.6159276,0
2024-02-13 11:39:27.499,-5.58,-1.88,0.2206367,0
2024-02-13 11:39:27.517,-5.58,-1.88,-0.1746542,0
